,ATL,ORD,LAX,DFW,SFO,DEN,MSP,DTW,MIA,LAS,EWR,PHX,IAH,JFK,STL,MCO,BOS,PHL,CVG,HNL,CLT,SLC,IAD,PIT,BWI,TPA,SAN,CLE,PDX,FLL,MCI,MEM,MSY,RDU,BNA,IND,AUS,SMF,RSW
STL,967164.7890230841,546010.3193477881,3191159.6751962686,1094345.812980041,3566370.6835473864,1600233.6145064945,970610.2577075869,931264.9429466928,2047132.7397873746,2783887.010888891,1825334.5420973534,2517426.0600912455,1307126.8574105161,1867017.7599671592,0.0,1711363.4755060736,2219869.7592276535,1691878.0638075506,636216.005641899,7851089.695751865,1159321.3928258556,2423612.6078253067,1437874.5566502514,1156227.4190549836,1526489.797808572,1683519.6443497802,3097674.6514241854,1024576.5573552973,3732241.5968158604,2026868.6609568484,489914.88725782343,517947.34314384987,1183102.353777851,1350557.571652981,551633.6168108532,474570.0312717877,1413169.3780329868,3475514.1860437877,1882651.1011210578
MCO,760761.437095263,1994613.3851678208,4191768.2350316243,1844003.0123609225,4732090.766105395,3023949.4302371456,2654700.7228625314,1903284.4414890965,348674.2511534497,3900112.355571246,1843979.3693715995,3478436.2572211614,1574619.3819733115,1856124.118313929,1711363.4755060736,0.0,2230077.623999797,1685404.3425857334,1473666.5621648012,8573338.928315414,890713.0431721066,3804124.2512080115,1474282.8366938673,1638789.1380604391,1533257.487282418,147847.62815624612,4032874.2616001787,1771062.0529011586,5190457.52010035,321991.7137536562,2088482.5316156773,1296801.1786095165,1015974.7900830137,1019956.3476439954,1177516.5287470412,1619766.7176038374,1834353.3772702012,4690222.740689439,242712.35274392646
BOS,1938914.7982913926,1882146.3295604843,5410390.171388201,3190292.1839163997,5759933.348745595,3766085.4806735795,2503276.208756045,1374785.1719529438,2468999.7921396215,4996761.604237029,431075.30628396984,4735564.476534443,3205859.8714512675,401382.0474806486,2219869.7592276535,2230077.623999797,0.0,598363.3070259973,1596993.5206919934,10068767.30667976,1506580.9954156724,4567310.628627064,876140.080292168,1064197.486168947,785664.2686505289,2350964.4192341003,5317009.470647519,1215590.2702961443,5764918.438950161,2431164.683763898,2677549.9539995207,2356768.3077576016,2743673.6110514514,1272390.1289382372,1962220.9709010515,1746267.6113689963,3413310.894758524,5656786.68836514,2460654.8729896178
PHL,1340884.9570231386,1443491.9040730312,4875836.488465762,2611541.9122651066,5256768.959233274,3276344.455094712,2139480.161058273,966895.3056219219,1956347.401190266,4474966.568498117,169087.14052846478,4189170.181788903,2611097.766042252,197520.65525420077,1691878.0638075506,1685404.3425857334,598363.3070259973,0.0,1056065.7313780824,9516350.979077488,911627.7469839819,4091904.3338660016,280421.40180643793,562971.3633004813,188002.68569726255,1795442.8841508795,4772969.817032363,769583.3928818615,5342619.457297604,1918815.7603625085,2169289.017400331,1774840.0868551373,2145357.677114775,688073.139333623,1378920.4199303468,1230652.3026124602,2822687.253270219,5162421.920312818,1923614.4222012812
CVG,749016.3395202017,560340.1959097404,3822010.738503546,1616708.2865029415,4202448.266734519,2230050.0544625786,1292724.2881866654,486699.5798535744,1821555.753234915,3418937.4538097777,1192826.1543575956,3140502.876110526,1708096.382328807,1233848.7046810081,636216.005641899,1473666.5621648012,1596993.5206919934,1056065.7313780824,0.0,8472605.306278251,677388.0501390502,3050787.9195467625,802974.9334861086,536092.3681175155,890685.9232640626,1501698.3970372735,3723110.581649072,465995.53484897816,4335970.603493354,1792498.674291165,1118896.907634732,813489.358458004,1374859.9942069582,791455.5760487389,467891.3881728739,205078.9212541908,1879272.198262991,4110582.6827605893,1694331.454524851
HNL,8327076.3253186,8258001.251286865,4677779.99232403,6931496.256596552,4477934.994722012,6401224.473308785,7870500.89768421,8748839.939624399,8659198.852542397,5119832.473349605,9662608.636097575,5333691.020305871,7048590.983524687,9702408.118495077,7851089.695751865,8573338.928315414,10068767.30667976,9516350.979077488,8472605.306278251,0.0,8748941.21972841,5715246.636539279,9244196.805742076,9004720.875846958,9337327.769746285,8432041.278183702,4754605.328235458,8871450.84147537,5123737.0302202385,8676754.738801392,7413608.815971924,7761326.241503683,7608545.988173073,9002365.442250773,8152606.266225761,8325650.819109798,6797755.174081439,4627330.354115094,8502878.311182838
CLT,442516.6665160761,1237485.4998942122,4174115.096496295,1818533.9967462628,4624165.070532112,2721080.9753079168,1963745.9286774765,1035223.5857803491,1221672.0799347353,3809958.8530129637,1080701.573118741,3466198.793772026,1745599.1763892227,1105973.5588162097,1159321.3928258556,890713.0431721066,1506580.9954156724,911627.7469839819,677388.0501390502,8748941.21972841,0.0,3543659.765615652,649504.0822019973,748809.0632012449,730188.1021704953,963514.8405796154,4048704.676866261,886025.1179212219,4880297.097392691,1188187.9619852728,1635984.8699134572,1005886.9378959776,1245687.7284082384,256562.16343484758,650505.2400497765,868457.0212608748,1976053.708166101,4550836.077820361,1130975.4953038597
SLC,3226149.348462969,2685848.22157911,1197124.02511841,1993685.2888873648,1243450.1076253452,824498.6005503773,2178844.72681231,3193718.077990303,4058737.832809166,756200.6736868821,4209128.57134603,1027568.4050786768,2370382.019653664,4252506.584795869,2423612.6078253067,3804124.2512080115,4567310.628627064,4091904.3338660016,3050787.9195467625,5715246.636539279,3543659.765615652,0.0,3852455.8933994537,3534306.0597789595,3937809.0959807606,3708775.004355951,1261975.5800643214,3355324.608846082,1391316.9908012885,4055150.428942432,1934169.2963479594,2580186.278333956,2834030.686327608,3760108.877495098,2893542.0255921246,2863523.326965052,2155951.772569236,1111904.1135465158,3871458.218706717
IAD,1067981.2452126755,1245054.5449132188,4611095.595668505,2333299.59141593,5003914.36635884,3032684.2948261555,1967483.7347721008,812757.9021116026,1768615.178910221,4215477.082208928,445073.86361325183,3920566.3986839796,2330991.947226581,477291.3092647626,1437874.5566502514,1474282.8366938673,876140.080292168,280421.40180643793,802974.9334861086,9244196.805742076,649504.0822019973,3852455.8933994537,0.0,381709.4901010513,93706.40818562158,1572901.5474605323,4504827.221449419,607058.4684757086,5123925.49795385,1731869.0084806397,1921830.3152855646,1496247.6292386488,1870183.2287979973,454772.2734707012,1100344.356782123,990174.7006219835,2542283.661608603,4913236.945650301,1716168.1610189304
PIT,1065319.3004641905,881950.0619993543,4347346.360259616,2148210.6769355256,4709283.438629827,2722205.77924749,1591651.2595720002,431053.1403394704,1964145.2421679592,3937164.5080350004,675706.5982302441,3671387.6258476167,2211563.7350911987,718736.8995418318,1156227.4190549836,1638789.1380604391,1064197.486168947,562971.3633004813,536092.3681175155,9004720.875846958,748809.0632012449,3534306.0597789595,381709.4901010513,0.0,440297.61019375233,1711009.7541733866,4252840.549629715,225374.4223115153,4779649.358478718,1929570.254864364,1621298.6177073747,1329026.9744838902,1817811.0408418584,673339.544084688,948163.0347813211,684106.6631473119,2397643.5596344587,4611269.732895244,1879635.1104516448
